Provider ID,Score,HCAHPS Score,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote
170201,2.63,,"BLUE VALLEY HOSPITAL, INC",12850 METCALF AVENUE,OVERLAND PARK,KS,66213,JOHNSON,9132202866,Acute Care Hospitals,Proprietary,No,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
670090,1.7,,CRESCENT MEDICAL CENTER LANCASTER,2600 WEST PLEASANT RUN ROAD,LANCASTER,TX,75146,DALLAS,9722308888,Acute Care Hospitals,Physician,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
50751,1.55,,MIRACLE MILE MEDICAL CENTER,6000 SAN VICENTE BLVD,LOS ANGELES,CA,90036,LOS ANGELES,3239301040,Acute Care Hospitals,Proprietary,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
670083,1.52,,TEXAS GENERAL HOSPITAL,2709 HOSPITAL BLVD,GRAND PRAIRIE,TX,75051,DALLAS,4696352073,Acute Care Hospitals,Proprietary,Yes,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Below the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
50738,1.46,,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVE,SOUTH EL MONTE,CA,91733,LOS ANGELES,6263507975,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,2,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
50096,1.44,,"WEST COVINA MEDICAL CENTER, INC",725 S ORANGE AVE,WEST COVINA,CA,91790,LOS ANGELES,6263388481,Acute Care Hospitals,Proprietary,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
50763,1.41,,SILVER LAKE MEDICAL CENTER,1711 WEST TEMPLE STREET,LOS ANGELES,CA,90026,LOS ANGELES,2139896123,Acute Care Hospitals,Proprietary,No,Y,5,,Above the national average,,Above the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
50205,1.4,,EAST VALLEY GLENDORA HOSPITAL,150 WEST ROUTE 66,GLENDORA,CA,91740,LOS ANGELES,6263350231,Acute Care Hospitals,Proprietary,Yes,Y,4,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
450893,1.39,,THE HEART HOSPITAL BAYLOR DENTON,2801 SOUTH MAYHILL ROAD,DENTON,TX,76208,DENTON,9402200600,Acute Care Hospitals,Physician,Yes,Y,5,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
50780,1.37,,FOOTHILL REGIONAL MEDICAL CENTER,14662 NEWPORT AVE,TUSTIN,CA,92780,ORANGE,7146197700,Acute Care Hospitals,Proprietary,No,Y,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Below the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score
